faithfulness,faithfulness_nan_percent
0.7619930396400985,15.0
0.7955035912901081,11.0
0.8083865845803563,15.0
0.8165083257969202,16.0
0.78791146761735,15.0
0.7870283898373786,11.0
0.7781382238353916,19.0
0.7313127213695395,12.0
0.8101706137000255,15.0
0.7997923588039867,14.000000000000002
0.7899027217992736,13.0
0.7900510204081632,16.0
0.8163009648303764,13.0
0.778205758887577,12.0
0.8305061043825088,11.0
0.8544435215946844,14.000000000000002
0.7709004496795193,14.000000000000002
0.7985987238999286,17.0
0.8127751877751879,22.0
0.7189254316500786,18.0
0.8082599248296922,14.000000000000002
0.7551910299003322,14.000000000000002
0.7918622542116518,17.0
0.8075813247109543,19.0
0.7874116624116624,13.0
0.8013683756330815,16.0
0.7628354119425548,16.0
0.8090887358959648,17.0
0.7833333333333333,7.000000000000001
0.7833503511866085,19.0
0.7886283469616804,10.0
0.8265730631802061,16.0
0.7056005985884035,18.0
0.7684634642465967,17.0
0.83135779564351,16.0
0.8222370741668988,10.0
0.8100316515495087,16.0
0.7997859818084538,11.0
0.800012896825397,20.0
0.818547514791357,16.0
0.783321275285561,16.0
0.7921910430839002,16.0
0.8092330871742636,12.0
0.794114553451903,17.0
0.8044110870154513,15.0
0.8163017697500455,13.0
0.8037724312724313,10.0
0.7879719817219818,16.0
0.8047078600180103,16.0
0.7973762884104441,7.000000000000001
0.7997411452467632,11.0
0.7873433126445175,17.0
0.7615595812720729,11.0
0.7833700436110076,17.0
0.7930527968763262,15.0
0.8210598043931377,19.0
0.835826874941896,16.0
0.8198626631766167,14.000000000000002
0.8313627916649894,9.0
0.7939016260232388,11.0
0.8055088702147527,15.0
0.7842549761704513,18.0
0.7739433552628698,14.000000000000002
0.8056512605042017,15.0
0.7931957266294616,17.0
0.8067126658108686,18.0
0.7952944346462865,19.0
0.8308627278071722,10.0
0.7802714089751126,19.0
0.7954397293846703,11.0
0.8504579069919977,12.0
0.8212324191863835,15.0
0.7776615359948693,10.0
0.8026645950803255,11.0
0.7907726142665901,17.0
0.8129337393872277,14.000000000000002
0.7996961208725915,15.0
0.8300790479361908,9.0
0.7998728246318607,17.0
0.7842004703115815,19.0
0.8397310945141868,13.0
0.8191034494605924,16.0
0.7921065324525532,15.0
0.8076472427620204,18.0
0.797816959871062,13.0
0.7981538810027182,14.000000000000002
0.806267507002801,15.0
0.7545097941649667,13.0
0.8128354119425548,16.0
0.7892708598590952,15.0
0.8232233044733044,12.0
0.7907385361552027,10.0
0.7940115440115441,13.0
0.8004469296135963,19.0
0.8273855135924101,13.0
0.8013346867543425,18.0
0.8520350829725829,12.0
0.7917260744453728,10.0
0.8090756302521008,15.0
0.8065048323769254,14.000000000000002
