faithfulness,context_recall,faithfulness_nan_percent,context_recall_nan_percent
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
0.9063492063492065,0.375,10.0,0.0
